"Year","Province","Normalization","Measure","Value"
1961,"Alberta","Total ($ M)","Expenditure",468
1962,"Alberta","Total ($ M)","Expenditure",494
1963,"Alberta","Total ($ M)","Expenditure",498
1964,"Alberta","Total ($ M)","Expenditure",517
1965,"Alberta","Total ($ M)","Expenditure",533
1966,"Alberta","Total ($ M)","Expenditure",583
1967,"Alberta","Total ($ M)","Expenditure",653
1968,"Alberta","Total ($ M)","Expenditure",746
1969,"Alberta","Total ($ M)","Expenditure",842
1970,"Alberta","Total ($ M)","Expenditure",971
1971,"Alberta","Total ($ M)","Expenditure",1086
1972,"Alberta","Total ($ M)","Expenditure",1253
1973,"Alberta","Total ($ M)","Expenditure",1411
1974,"Alberta","Total ($ M)","Expenditure",1873
1975,"Alberta","Total ($ M)","Expenditure",2102
1976,"Alberta","Total ($ M)","Expenditure",2454
1977,"Alberta","Total ($ M)","Expenditure",2771
1978,"Alberta","Total ($ M)","Expenditure",3101
1979,"Alberta","Total ($ M)","Expenditure",3467
1980,"Alberta","Total ($ M)","Expenditure",3957
1981,"Alberta","Total ($ M)","Expenditure",4904
1982,"Alberta","Total ($ M)","Expenditure",6949
1983,"Alberta","Total ($ M)","Expenditure",8470
1984,"Alberta","Total ($ M)","Expenditure",10173
1985,"Alberta","Total ($ M)","Expenditure",10635
1986,"Alberta","Total ($ M)","Expenditure",10033
1987,"Alberta","Total ($ M)","Expenditure",10549
1988,"Alberta","Total ($ M)","Expenditure",11035
1989,"Alberta","Total ($ M)","Expenditure",11803
1990,"Alberta","Total ($ M)","Expenditure",12645
1991,"Alberta","Total ($ M)","Expenditure",13667
1992,"Alberta","Total ($ M)","Expenditure",14375
1993,"Alberta","Total ($ M)","Expenditure",14019
1994,"Alberta","Total ($ M)","Expenditure",13884
1995,"Alberta","Total ($ M)","Expenditure",14440
1996,"Alberta","Total ($ M)","Expenditure",13977
1997,"Alberta","Total ($ M)","Expenditure",13652
1998,"Alberta","Total ($ M)","Expenditure",14192
1999,"Alberta","Total ($ M)","Expenditure",14973
2000,"Alberta","Total ($ M)","Expenditure",16258
2001,"Alberta","Total ($ M)","Expenditure",16698
2002,"Alberta","Total ($ M)","Expenditure",16603
2003,"Alberta","Total ($ M)","Expenditure",18175
2004,"Alberta","Total ($ M)","Expenditure",18863
2005,"Alberta","Total ($ M)","Expenditure",19722
2006,"Alberta","Total ($ M)","Expenditure",19572
2007,"Alberta","Total ($ M)","Expenditure",21006
2008,"Alberta","Total ($ M)","Expenditure",22359
2009,"Alberta","Total ($ M)","Expenditure",24078
2010,"Alberta","Total ($ M)","Expenditure",25556
2011,"Alberta","Total ($ M)","Expenditure",25644
2012,"Alberta","Total ($ M)","Expenditure",26073
2013,"Alberta","Total ($ M)","Expenditure",26850
2014,"Alberta","Total ($ M)","Expenditure",27296
2015,"Alberta","Total ($ M)","Expenditure",29536
2016,"Alberta","Total ($ M)","Expenditure",32279
2017,"Alberta","Total ($ M)","Expenditure",34582
2018,"Alberta","Total ($ M)","Expenditure",35142
2019,"Alberta","Total ($ M)","Expenditure",37719
2020,"Alberta","Total ($ M)","Expenditure",68453
2021,"Alberta","Total ($ M)","Expenditure",57701
2022,"Alberta","Total ($ M)","Expenditure",50677
1961,"British Columbia","Total ($ M)","Expenditure",660
1962,"British Columbia","Total ($ M)","Expenditure",625
1963,"British Columbia","Total ($ M)","Expenditure",645
1964,"British Columbia","Total ($ M)","Expenditure",677
1965,"British Columbia","Total ($ M)","Expenditure",727
1966,"British Columbia","Total ($ M)","Expenditure",806
1967,"British Columbia","Total ($ M)","Expenditure",902
1968,"British Columbia","Total ($ M)","Expenditure",1033
1969,"British Columbia","Total ($ M)","Expenditure",1143
1970,"British Columbia","Total ($ M)","Expenditure",1335
1971,"British Columbia","Total ($ M)","Expenditure",1540
1972,"British Columbia","Total ($ M)","Expenditure",1814
1973,"British Columbia","Total ($ M)","Expenditure",2052
1974,"British Columbia","Total ($ M)","Expenditure",2564
1975,"British Columbia","Total ($ M)","Expenditure",3160
1976,"British Columbia","Total ($ M)","Expenditure",3698
1977,"British Columbia","Total ($ M)","Expenditure",4221
1978,"British Columbia","Total ($ M)","Expenditure",4736
1979,"British Columbia","Total ($ M)","Expenditure",5187
1980,"British Columbia","Total ($ M)","Expenditure",5951
1981,"British Columbia","Total ($ M)","Expenditure",6980
1982,"British Columbia","Total ($ M)","Expenditure",8685
1983,"British Columbia","Total ($ M)","Expenditure",9665
1984,"British Columbia","Total ($ M)","Expenditure",10899
1985,"British Columbia","Total ($ M)","Expenditure",12063
1986,"British Columbia","Total ($ M)","Expenditure",12573
1987,"British Columbia","Total ($ M)","Expenditure",13417
1988,"British Columbia","Total ($ M)","Expenditure",14448
1989,"British Columbia","Total ($ M)","Expenditure",15670
1990,"British Columbia","Total ($ M)","Expenditure",17060
1991,"British Columbia","Total ($ M)","Expenditure",18285
1992,"British Columbia","Total ($ M)","Expenditure",19052
1993,"British Columbia","Total ($ M)","Expenditure",19833
1994,"British Columbia","Total ($ M)","Expenditure",19938
1995,"British Columbia","Total ($ M)","Expenditure",21028
1996,"British Columbia","Total ($ M)","Expenditure",20389
1997,"British Columbia","Total ($ M)","Expenditure",20206
1998,"British Columbia","Total ($ M)","Expenditure",20934
1999,"British Columbia","Total ($ M)","Expenditure",22090
2000,"British Columbia","Total ($ M)","Expenditure",23062
2001,"British Columbia","Total ($ M)","Expenditure",23559
2002,"British Columbia","Total ($ M)","Expenditure",24391
2003,"British Columbia","Total ($ M)","Expenditure",25197
2004,"British Columbia","Total ($ M)","Expenditure",26233
2005,"British Columbia","Total ($ M)","Expenditure",28543
2006,"British Columbia","Total ($ M)","Expenditure",28458
2007,"British Columbia","Total ($ M)","Expenditure",30396
2008,"British Columbia","Total ($ M)","Expenditure",31350
2009,"British Columbia","Total ($ M)","Expenditure",33381
2010,"British Columbia","Total ($ M)","Expenditure",36933
2011,"British Columbia","Total ($ M)","Expenditure",35640
2012,"British Columbia","Total ($ M)","Expenditure",36367
2013,"British Columbia","Total ($ M)","Expenditure",36730
2014,"British Columbia","Total ($ M)","Expenditure",36942
